audio-0.300-1.500|From behind my seat.
audio-680.300-688.500|She asked how I was told me she'd heard it might rain and then cleared her throat and said she'd appreciate it if I'd stop by the next day.
audio-691.000-696.500|Good Morning Sun slanted down the sidewalk aiming my shadow in the direction of Lake Mendota.
audio-696.300-702.100|Mike loved Lake Mendota the way the city hugs its curves.
audio-701.900-723.200|He like to pull people into debating the relative merits of it and Lake Monona Madison other Big Lake Erie life a list of ways that Mendota was Superior as if it were a team he supported my car was already hot to the touch and I unlocked it and roll down the windows seats scorched my legs.
audio-723.900-730.200|At the hospital I felt mrs. Mayor watching me and watching me waiting for me to break down.
audio-730.000-734.200|What is the molecular shape of Mike's house came into view a little later.
audio-734.000-740.000|She was watching again standing at the living room window with the curtain on the side as if she'd heard.
audio-739.800-741.800|I was on my way but didn't believe it.
audio-741.600-743.600|I got out of my car.
audio-743.400-754.300|The house was big and white a perfectly symmetrical Colonial with black shuttered windows and an iron eagle on the black front door.
audio-755.000-759.800|I hadn't been over since the accident, but the yard was as tidy as ever.
audio-760.500-762.300|Mrs. Mayor open the door.
audio-762.100-764.600|She said with a smile.
audio-764.400-765.800|I'm glad you're here.
audio-766.700-768.500|I tried to smile back.
audio-769.200-774.500|At the hospital and has been hard to look at her wrecked face, but this was almost worse.
audio-774.300-779.100|She was pale and drained as if she finally run out of Tears.
audio-780.100-782.300|What's going to the kitchen show me dear?
audio-782.900-792.100|I followed her through the large old rooms pass couches were Mike and I and sat together tables where I casually piled my school books.
audio-791.900-794.600|He was my house too in a way.
audio-795.600-803.000|When we got to the kitchen mrs. Mayor made tea sitting down opposite me she blew on hers and then cleared her throat.
audio-804.000-805.200|Are you going today?
audio-806.000-807.500|I picked up my cup.
audio-807.300-821.100|I thought about trying to explain about yesterday about the two-week marker about how I reaching up when it's scared me, but I knew she was aware of it too and scared too and that she'd gone anyway.
audio-821.800-826.500|I blew on my team took a sip the lemon and its heart and satisfying.
audio-827.200-832.200|having visitors means a lot to him I met her glance then looked away.
audio-833.100-834.900|Nothing meant anything to him.
audio-834.700-846.300|That was the problem the tragedy that in the fact that the area between his 5th and 6th vertebrae had suffered an injury that could leave him paralyzed for Life quadriplegic.
audio-846.900-854.400|Thinking that way though that my visiting would mean nothing made me feel churlish a dweller on the bedside.
audio-855.100-862.800|Carrie she was staring at me for still young Face line with concern when I spoke.
audio-862.600-864.400|I sounded distant even to myself.
audio-865.400-868.600|I said I have to work, but I'll go afterward.
audio-869.400-873.500|She noted then reached across the table and took hold of my left hand.
audio-874.200-877.000|She touched the tiny diamonds on my ring finger.
audio-877.900-883.200|Michael was so happy the day he bought this it was like something he'd made it school.
audio-883.000-883.900|He was so proud.
audio-884.900-898.700|Julie made a remark about how it wasn't that big or something and his face just fell he got that hangdog look on his face and he said to me do you think Ariel like it she like oh my hand.
audio-899.500-901.200|Do you think area like it?
audio-901.800-903.800|He loves you very much, dear.
audio-904.600-906.000|I looked away from her.
audio-906.700-907.500|I know.
audio-908.800-910.900|We drink our tea silently.
audio-911.700-920.600|After while I told her I wanted to go up to his room and I climb the stairs and turn down the hall going past framed photographs of all three mayor kids.
audio-921.200-924.400|I just or I hesitated then went in.
audio-925.200-927.700|There was a must-see on used now.
audio-928.500-934.400|I crossed the bed and sat down running my fingers up and down the room to Blue bedspread.
audio-935.200-937.000|On his bedside table.
audio-936.800-942.000|There was a picture of me from high school graduation, and I picked it up and looked at it.
audio-941.800-948.600|It was a familiar picture, but the girl and it seems only tenuously connected to who I was now.
audio-949.800-952.500|She looks sure of herself sure.
audio-952.300-956.600|She stay on Mike's bedside table for years and years and be happy about it.
audio-957.300-962.400|My cat never left home and is room for traces of all the different stages of him.
audio-962.200-973.800|I've known trophies next to text books next to the briefcase here to begun carrying the year before when he started working at a job in new accounts at a bank near the capital.
audio-973.600-980.900|And as I looked around I thought of how we've been talking lately and finally moving out saying that since he was making good money.
audio-980.700-984.200|He should get an apartment teach himself domestic life.
audio-984.000-986.200|So you wouldn't sabotage our marriage.
audio-987.000-991.200|Three or four times it said it and I'd never responded.
audio-991.900-1001.900|It killed me to think of it now my trolling for something just good idea or no better keep saving your money.
audio-1002.800-1007.200|And how I gave him nothing not even a wedding date.
audio-1007.000-1009.600|I deflected that question 2.
audio-1010.400-1017.200|Later, I kept thinking next year or the year after I tried not to think about it at all.
audio-1019.700-1028.300|I worked at the University Library where I had a work-study job while I was a student when I graduated they offered me 35 hours a week.
audio-1028.100-1032.700|And so I stayed on I could take or leave the job.
audio-1032.500-1039.800|But I like being on campus walking to the union on brakes heading up State Street to Window Shop.
audio-1041.100-1048.400|My job was in the rare books room where the only staff member close to my age was a graduate student named Victor from Poland.
audio-1048.200-1052.200|He was at the desk when I arrived and I could tell right away.
audio-1052.000-1055.300|He was in a good mood caddy caddy.
audio-1055.100-1056.300|Come here.
audio-1057.100-1060.300|He motioned me over with a boisterous wave his arm.
audio-1061.000-1065.500|Although he was sitting and I was standing he seemed to loom over me.
audio-1065.300-1068.900|He was without doubt the biggest person.
audio-1068.700-1074.700|I'd ever known 6-6 with broad beefy shoulders thick slab of a torso.
audio-1074.500-1077.500|He said this morning.
audio-1077.300-1082.600|I am telling Anya that we must be more social in Slavic studies.
audio-1082.400-1097.200|We have parties, but they are too Slavic you can come for dinner when Dinner at Victor's this was a first and I wondered how much it had to do with Mike's being in the hospital and whether or not given that Mike was in the hospital.
audio-1097.000-1106.700|I should go I was about to make an excuse when a door at the back of the room opened and then meet Prim head of our boss Miss Grafton poked out.
audio-1106.500-1107.900|Oops.
audio-1107.700-1115.600|I said quietly but Victor put on a big smile and wave Jean yelling at her and after a moment her head with Drew and she closed the door.
audio-1115.400-1118.100|She loves me.
audio-1117.900-1127.000|He said matter-of-factly his voice only a little lower now, I am tall strong good-looking.
audio-1126.800-1143.800|She sees me and thinks of the agony of her dry sex with life, but she is happy for a moment because I remind her of one that wasn't so I laughed Mike loved my Victor stories and I thought of how funny he thinks.
audio-1143.600-1146.000|This one was then remembered.
audio-1145.800-1153.200|I couldn't tell him a feeling of something heavy moved through me like sand falling through water.
audio-1153.000-1154.800|I looked away.
audio-1154.600-1158.200|Let's say a week from Saturday.
audio-1158.000-1161.100|If they're said you're cooking.
audio-1160.900-1165.000|Tex-Mex onion is a fabulous cook, you know, I don't know.
audio-1164.800-1167.100|I'm not that I don't know.
audio-1166.900-1169.000|He said yes.
audio-1168.800-1169.200|Yes.
audio-1169.000-1171.200|Okay.
audio-1171.000-1171.300|Yes.
audio-1172.300-1176.800|He smiled triumphantly deep lines appearing in his stumbling cheeks.
audio-1176.600-1179.300|He was 28 but looked older.
audio-1180.000-1185.800|I moved away ready to get to work and he called my name Victor.
audio-1185.600-1190.300|I said wearily miss grafton's going to I am just giving you a message.
audio-1190.100-1200.100|He handed me a piece of paper and I walked a few Paces away and slip between a pair of tall bookcases and his big blocky capitals.
audio-1199.900-1207.400|It said Jamie 10:30 10 take lunch anytime between 12 and 3.
audio-1207.200-1212.900|If you call by 11:45, please call says hi.
audio-1213.700-1216.300|Sorry, I folded the note and put it in my pocket.
audio-1216.100-1219.600|Jamie worked in a coffee shop three blocks away.
audio-1219.400-1224.600|And we sometimes met for lunch after hours were right the past few months.
audio-1224.400-1229.000|I'd mostly been telling her they warrant that I've been given a late lunch or none at all.
audio-1228.800-1238.200|But recently since the accident she been pushing it leaving messages like this one calling at work just to say okay.
audio-1238.000-1244.800|I knew she was worried about me and I felt grateful for that or if not grateful at least touched.
audio-1244.600-1251.600|I looked at my watch 11:35 at the very least I should call to say.
audio-1251.400-1255.600|No, but it would be so much easier not to call to pretend.
audio-1255.400-1256.900|I hadn't gotten the message in time.
audio-1257.800-1262.200|Since the accident I could get away with more which scared me.
audio-1264.400-1275.000|The hospital was like a city with distinct neighborhoods in commercial areas and quarters inside like long longstreet's when I arrive that evening.
audio-1274.800-1280.100|I sat in one of the lobbies for a few minutes trying to get myself ready to go up.
audio-1279.900-1286.700|I happened to glance at the revolving doors and there was rooster coming in still in his suit.
audio-1286.500-1288.600|I stood up immediately.
audio-1289.500-1298.400|He was like mrs. Mayor full of Hope and I knew he disapprove of my just sitting there of anything that smells of pessimism.
audio-1298.200-1302.800|I crossed the lobby and met him near the information desk.
audio-1302.600-1313.300|He looked at me oddly for just a moment after we said hi, and I wondered if he knew about my absence the day before it's mrs. Mayor and told him.
audio-1314.000-1319.200|We rode the elevator up to intensive care bear was always quiet and a little Tim.
audio-1319.900-1326.200|Several nurses sad inside the central workstation speaking in low voices are going over charts.
audio-1326.000-1343.500|When was standing in the hallway and when rooster stopped to talk to her I stopped to She was 29 or 30 blond beautiful in an icy Nordic way impossible in other words, which was just his type.
audio-1343.300-1348.100|I stood behind him smiling little whenever she looked my way.
audio-1349.000-1353.400|Nurses knew who each of us was rooster was the best friend.
audio-1353.200-1355.600|I was the fiance.
audio-1356.700-1361.200|Mike was on his back and I relaxed a little at the sight of him.
audio-1361.000-1370.000|It wasn't any harder to season it has been two days ago a completely familiar body now minister to buy machines.
audio-1369.800-1377.700|The only thing covering him was a small cloth draped over his crotch and the rest of them look pale and Joey.
audio-1378.500-1382.100|Hi, Mike, rooster send it's me, bud.
audio-1381.900-1383.800|I'm here with Carrie.
audio-1383.600-1398.000|He looked at me and waited and lifted his chin a bit to urge me to speak the nurses and doctors have encouraged us to talk to Mike, but it made me feel uncomfortable as if I were speaking into a tape recorder.
audio-1397.800-1405.900|I stayed silent its June 14th rooster continued after a moment 7:20 p.m.
audio-1405.700-1408.600|I came straight from work to see you bud.
audio-1409.400-1413.700|I took a few steps closer with rooster out of my vision.
audio-1413.500-1416.500|It was possible to imagine Mike and I were alone.
audio-1416.300-1421.400|I didn't want to speak out loud, but that didn't mean I couldn't talk to him.
audio-1422.200-1424.900|I covered his hand with mine and told him not to worry.
audio-1425.900-1426.900|I'm here.
audio-1426.700-1429.500|I told him I'm here.
audio-1429.300-1429.900|I'm here.
audio-1431.100-1432.700|Later at the elevators.
audio-1432.500-1436.300|We ran into Mike's family making their nightly trip back in to tell him.
audio-1436.100-1436.600|Goodnight.
audio-1436.400-1465.600|Mrs. Mayor was plainly relieved to see me and even Mister mayor look to me for an extra moment and not as of talking way for future analysis the knowledge that I was here now, but hadn't been last night rooster said he had to go but I felt I should stay I headed back to the land with them and waited while to buy to they visited Mike's room than the five of us were all in the lounge together and although there was no reason to stay none of us made a move to leave.
audio-1466.300-1468.100|Have you seen the doctor's today?
audio-1467.900-1471.100|I looked up and found Julie watching me.
audio-1470.900-1474.600|She was 19 and just home from a first-year college.
audio-1474.400-1476.300|I shook my head.
audio-1476.100-1478.200|I mean it mom.
audio-1478.000-1485.500|She said we can just sit around on our asses and expect them to keep us completely up-to-date live to be active participants.
audio-1485.300-1488.900|This is Mayor cast me a sad smile.
audio-1488.700-1495.600|Cheese's Julie cried and she got up and ran from the lounge to hear.
audio-1495.400-1501.300|This is Mayor said, I'll go mr. Mayor said, but he didn't move.
audio-1502.200-1504.100|I glanced John junior.
audio-1503.900-1509.000|He was 16 and heartbreaking with wavy brown hair and grey eyes.
audio-1508.800-1516.500|Mike's hair and eyes and the exact body my cat had 6 years earlier muscular, but still there all wasted.
audio-1516.300-1518.600|How are you John?
audio-1518.400-1521.000|I said fine.
audio-1520.800-1523.100|His voice was husky.
audio-1522.900-1525.200|I thought he was trying not to cry.
audio-1526.100-1529.900|I looked at mr. Mayor at is 10 balding him.
audio-1529.700-1548.900|How does hazel eyes feel me behind the classes in becoming a cereal and a speech since the accident one day delivering sermons about Hope and patience and the next lecturing us on the spinal cord and its function I liked him, but I couldn't listen made me too jittery.
audio-1549.900-1552.400|I guess I better go I said.
audio-1553.200-1557.900|Three of them said goodbye and I felt them watch me as I left the lounge.
audio-1558.800-1561.900|I wondered how long they'd sit there before they went home.
audio-1563.000-1570.200|Brewster was still in the lobby when I got there standing near the exit talking to the same blond nurse.
audio-1571.000-1574.900|After a moment, he looked up and saw me then motioned for me to join them.
audio-1575.600-1580.200|Have you guys actually meant he said carry, this is Joan.
audio-1580.000-1582.700|She's from Oconomowoc believe it or not.
audio-1583.500-1587.000|I nodded his parents were both from Oconomowoc.
audio-1586.800-1589.700|It was where he went for holidays.
audio-1590.400-1591.900|You don't carry is.
audio-1592.800-1594.200|Trump smiled at me.
audio-1594.000-1603.300|She was taller than I'd realized nearly 6 ft with clear fair-skinned and extraordinary pale blue eyes.
audio-1604.400-1606.100|I'm sure sorry about Mike.
audio-1605.900-1608.800|She said thanks.
audio-1608.600-1611.800|It's way too soon to give up hope though.
audio-1612.600-1623.400|exactly rooster sin John headed for the exit and I watch rooster watching her his eyes on her, even when she was out the door and heading into the parking lot.
audio-1624.500-1626.800|Nice, he said it last.
audio-1627.600-1628.800|Nice one.
audio-1628.600-1630.500|I was used to his ways.
audio-1630.300-1632.500|Nice legs.
audio-1632.300-1633.000|Nice ass.
audio-1634.100-1635.100|Just nice.
audio-1636.000-1640.600|He put his hand on my shoulder and after a moment, we started toward the door together.
audio-1641.600-1642.900|Let's go for a drink.
audio-1643.700-1651.700|I glanced up and found him watching me closely face flushed red hair damp the hairline eye looks away.
audio-1652.700-1654.100|I really feel like it.
audio-1655.000-1657.500|He stops walking and put his hands on his hips.
audio-1657.300-1659.000|Come on.
audio-1658.800-1660.900|Carrie be a friend for once.
audio-1660.700-1664.900|Okay, one beer, I promise and go somewhere quiet.
audio-1665.700-1668.900|For once why did you say for once?
audio-1669.600-1675.300|My eyes burned a little and I thought it would be incredible if this was what finally made me cry.
audio-1676.100-1677.400|I didn't mean it like that.
audio-1678.500-1684.400|aside rooster always got his way eventually through sheer force of will.
audio-1685.100-1686.000|All right.
audio-1685.800-1688.000|I said one beer.
audio-1689.700-1696.700|We drove separately than men up in front of the university book storm while we were standing there trying to decide where to go.
audio-1696.500-1698.100|We ran into stew.
audio-1697.900-1704.000|We talked to since Dean and Terrace Brewster stood in line for beer wants to and I got a table outside.
audio-1705.100-1711.600|Lake Mendota was a ripple in silver like a vast piece of silk spread out but not yet smooth.
audio-1712.600-1719.400|Rooster arrived with the beer I reach for my mug and took a sip stooling forward.
audio-1719.200-1721.100|How are you doing?
audio-1722.100-1725.200|I looked at my hands off the table and rocked it back and forth.
audio-1726.100-1731.300|And the mayor's lousy Brewster said like all of us.
audio-1732.200-1733.600|He glanced at me.
audio-1733.400-1737.200|Is that a fleeting moment of thinking he was accusing me of something?
audio-1738.300-1740.900|Strong I'm worried about I said.
audio-1741.700-1745.300|John and mr. Rooster friend.
audio-1745.100-1749.800|I don't think Julie is that hot either I miss his marital my mom.
audio-1749.600-1752.400|She hasn't slept more than an hour to time since it happened.
audio-1753.200-1756.300|I just meant John seems especially vulnerable.
audio-1757.400-1761.200|Sounds tough rooster sound like monkey.
audio-1762.200-1765.600|I thought of Mike on the pier completely hyped up to dive into water.
audio-1765.400-1768.400|He knew would be freezing tough.
audio-1768.200-1771.400|I said that turned out to be good quality.
audio-1772.300-1783.200|Restaurants to stared at me in shock a tiny Breeze blew in from the lake and a paper napkin lifted from our table flipped over once and settled again.
audio-1783.900-1788.000|I felt odd skin on my upper cheeks tingling a little.
audio-1788.800-1789.800|Take it back.
audio-1789.600-1792.000|I thought I couldn't.
audio-1792.900-1795.900|I looked at my hands aware of roosters glare on me.
audio-1797.000-1805.700|I can't believe you he said and he said his mug on the table with a loud thud he scraped his chair back and stood up.
audio-1805.500-1809.700|I'm out of here and he said to Stew I don't need this shit right now.
audio-1809.500-1810.100|See you later.
audio-1811.200-1813.500|I looked up in time to watch him walk away.
audio-1814.300-1815.800|I turn back to Stew.
audio-1816.700-1819.600|Sorry, I don't know what's wrong with me.
audio-1820.500-1822.200|Steaua staring at the lake.
audio-1822.000-1824.400|His hands wrapped around his beer.
audio-1825.200-1827.600|What are you thinking I said?
audio-1828.400-1829.800|He smiled uneasily.
audio-1830.700-1838.100|I was thinking about that weird stuff actually about me and Mike and rooster walking to picnic point on the ice that time.
audio-1839.000-1840.100|I stared at him.
audio-1840.800-1842.000|What are you talking about?
audio-1843.000-1847.900|inner designs Mike never told you Tell me what?
audio-1849.000-1850.400|Still took a sip of beer.
audio-1851.300-1852.800|It was freshman year of college.
audio-1852.600-1854.100|I was at Marquette.
audio-1853.900-1857.900|It was Christmas vacation and I drove home and called the rooster.
audio-1857.700-1862.300|He called Mike and the three of us came down here or so goes.
audio-1862.100-1863.900|Let's walk out to picnic point.
audio-1863.700-1875.300|It was 15 degrees out but all of a sudden all three of us were trooping outside like he was the best idea we ever heard of we went down to the lake and it had been a warm fall.
audio-1875.100-1879.000|It was hardly Frozen but rooster started walking out on the ice.
audio-1878.800-1887.600|I said some Mike I don't even go round mykos be tough tough is one thing and that is another right.
audio-1887.400-1896.200|I said fuck know you guys will kill yourselves like gives me this look like well, let's hope not but if we do we do and he goes out on the ice.
audio-1896.000-1898.100|So what was I going to do?
audio-1897.900-1900.400|I follow right after them.
audio-1900.200-1907.200|We walked the whole way there and back without saying a word and it was the next day that that kid fell through the ice up in Sawyer County.
audio-1907.000-1912.700|Remember he was in the water for like half an hour while his friend ran for help and stuff.
audio-1912.500-1920.000|I remember I remember It's been a little boy may be 8 by the time they got back to him was too late.
audio-1919.800-1923.000|He was still alive, but he died on the way to the hospital.
audio-1924.000-1929.200|I thought Mike would have told you that Stu said I shook my head.
audio-1930.300-1934.000|I looked out at Lake Mendota last sailboats heading in.
audio-1934.900-1940.000|Picnic point was across the way a little Peninsula pointing into the water.
audio-1941.000-1946.800|Four five times a year my can I bike through drove to the parking lot nearest the trailhead and then made the Trek out to the end.
audio-1947.400-1952.200|It was at picnic point that we lost our virginity together on a beach towel.
audio-1952.000-1953.000|I still had.
audio-1953.600-1957.200|We were 16 then we thought we'd waited long enough.
audio-1958.700-1960.300|I turned back to Tsum.
audio-1961.000-1967.700|Would you dived like Austin's Reservoir if he'd come right up and said come on stew is great.
audio-1968.500-1969.400|Would you?
audio-1970.600-1973.300|Sure, you said why not?
audio-1976.700-1979.500|I'm at Mike a few weeks before Christmas the winter.
audio-1979.300-1986.100|I was 14 and it's probably true that if I had met him I would have met someone else and my story would have run an entirely different direction.
audio-1985.900-1993.000|Mike's to of course away from clausen's Reservoir away from the dive.
audio-1994.200-2002.600|Jamie and I were Christmas shopping that afternoon 9th graders in Twin fuzzy has to ward off the chill mine purple and hers red.
audio-2003.700-2007.100|Because I already had my mother Shelly scarf bought in rent.
audio-2006.900-2009.000|Not only Jamie left on my list.
audio-2008.800-2021.700|I spent the afternoon standing by while she bought things for her family and drop big obvious hints about what I could get her gold-plated hoop earrings a light blue Angora sweater.
audio-2022.500-2023.600|We were best friends.
audio-2023.400-2026.500|We were allowed to ask each other for the Moon.
audio-2027.700-2028.600|Late in the day.
audio-2028.400-2033.200|We wandered into the rink were school's hockey games were played and took seats on the bleachers.
